gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BEX4	8.29105	7.48717	8.30647	8.65295	4.78763	8.43663	8.42595	8.44977	8.3724	8.90178	8.26539	8.18646	9.33873	6.90776	8.22711	8.37908	8.22711	7.54168	8.47073
BEX5	4.95473	2.08884	5.81711	5.16479	2.60197	5.38907	6.37502	7.49109	4.4853	5.48894	4.35847	5.53339	7.32251	4.60445	5.28827	5.44674	5.35659	0.145926	4.53285
BEYLA	0	0	0	0.611242	0	0	0	0.328857	0	0.474259	0	0	0	0	0	0.0364814	0	0	0
BFAR	7.93451	8.21419	7.95332	8.43142	8.30968	8.05769	9.90339	7.834	7.97694	8.75668	8.37908	8.18507	9.19958	8.33998	7.979	8.32385	7.72002	7.25205	8.51037
BFSP1	5.69709	4.16145	3.84768	6.05912	5.75574	3.00334	4.01949	5.00395	3.75801	4.2996	1.12544	5.51343	5.89164	3.74333	3.47797	3.66918	3.70734	2.20575	4.46778
BFSP2	1.49455	0	3.34379	2.674	0	0.528515	2.52957	1.03733	1.23729	2.01678	1.50123	1.95128	2.67325	0.611242	0.56843	0.921691	2.16687	1.41539	0.770608
BGLAP	5.01728	5.27929	4.71949	5.17048	5.05625	5.13662	6.54429	5.3619	5.96335	5.09987	4.35773	6.04888	7.17146	5.52206	4.851	5.09877	4.98426	5.664	5.0689
BGN	9.52603	7.82724	9.24397	9.57359	8.33902	8.63906	9.03848	9.5699	9.31839	10.2885	8.73601	11.2474	10.0608	10.5109	10.7853	9.93943	9.12587	7.57712	10.7602
BHLHA15	4.17628	2.46068	5.3033	4.3139	2.58346	2.90999	5.60212	4.47717	3.22473	3.98729	3.34103	3.75739	4.99385	4.96942	4.24777	3.52366	4.0776	3.43765	4.74966
BHLHB9	6.50279	5.88332	6.1334	6.54535	5.76519	6.67203	6.1181	6.73934	6.1591	6.2804	5.7589	5.81413	6.79682	5.70378	6.16752	6.64379	6.42811	5.32301	5.00395
BHLHE22	3.59404	0.364814	3.30565	3.72253	1.03733	2.20575	2.22864	0.364814	3.04371	4.6248	2.73586	4.79098	2.33089	3.74288	4.57456	4.5732	1.82016	1.75506	1.28484
BHLHE23	0	0	0	0.821189	0.182407	0	0	2.70392	0	0.509408	0	0	1.22124	0	0	0	0	0	0
BHLHE40	9.22523	8.07931	8.49536	9.18328	8.56865	9.99104	8.54384	8.82438	8.05611	9.90319	8.92745	9.99552	8.11373	8.61704	9.91007	9.34303	9.06462	8.81418	9.74079
